Eurospeak Language School 	Southampton 	UK	Homestay	Homestay Accommodation	Single	Shared	HB	205	60	0	18	0										
Eurospeak Language School	Reading	UK	Homestay	Homestay Accommodation	Single	Shared	HB	300	60	0	18	0										
Eurospeak Language School	Reading	UK	Homestay	Homestay Accommodation	Twin	Shared	HB	280	60	0	18	0										
Regent 	London	UK	Homestay	Homestay Accommodation	Single	Shared	HB	540	0	0	16	0										
Regent 	London	UK	Homestay	Homestay Accommodation	Single	Private	HB	660	0	0	16	0										
Southbourne School of English	Bournemouth	UK	Homestay	LS part board homestay	Single	Shared	HB	180	120	0	16	0	35	27/06/2026	22/08/2026	80	19/12/2026	02/01/2027				
Southbourne School of English	Bournemouth	UK	Homestay	LS full board homestay	Single	Shared	FB	210	120	0	15	0				80	19/12/2026	02/01/2027				
The Essential English Centre	Manchester 	UK	Homestay	Homestay Half Board Standard	Single	Shared	HB	200	50	0	16		30	06/06/2026	29/08/2026	50	19/12/2026	02/01/2027				
The Essential English Centre	Manchester 	UK	Homestay	Homestay Half Board Private	Single	Private	HB	260	50	0	16		30	06/06/2026	29/08/2026	50	19/12/2026	02/01/2027				
The Essential English Centre	Manchester 	UK	Homestay	Homestay Shared Room	Twin	Shared	HB	180	50	0	16		30	06/06/2026	29/08/2026	50	19/12/2026	02/01/2027				
The Essential English Centre	Manchester 	UK	Residence	Budget Residence	Single	Private	SC	200	50	0	18	30	30	06/06/2026	29/08/2026	50	19/12/2026	02/01/2027	Academic Year	100		
The Essential English Centre	Manchester 	UK	Residence	Standard Residence	Single	Private	SC	270	50	0	18	30	30	06/06/2026	29/08/2026	50	19/12/2026	02/01/2027				
The Essential English Centre	Manchester 	UK	Studio 	Budget Studio 	Single	Private	SC	300	50	0	18	30	30	06/06/2026	29/08/2026	50	19/12/2026	02/01/2027				
The Essential English Centre	Manchester 	UK	Studio 	Luxury Studio 	Single	Private	SC	500	50	0	18	30	30	06/06/2026	29/08/2026	50	19/12/2026	02/01/2027				
The Essential English Centre	Manchester 	UK	Studio 	Luxury 1Bed 	Single	Private	SC	550	50	0	18	30	30	06/06/2026	29/08/2026	50	19/12/2026	02/01/2027				
Suzanne Sparrow Plymouth Language School	Plymouth	UK	Homestay	Homestay	Single	Shared	FB	280	0	0	16	0	0			0						
Studio Cambridge	Cambridge	UK	Homestay	Standard single half-board	Single	Shared	HB	238	0	0	16	0	0			0						
Studio Cambridge	Cambridge	UK	Homestay	Superior single half-board	Single	Private	HB	322	0	0	18	0	0			0						
Studio Cambridge	Cambridge	UK	Residence	Residential - CB1	Single	Private	SC	400	0	100	18	0	0			0						
